snr,n_realizations,n_samples,MEWT_MAE_mean,MEWT_MAE_std,MEWT_NRMSE_mean,MEWT_NRMSE_std,MEWT_R2_mean,MEWT_R2_std
inf,1,38,0.0032833747675029734,0.0,0.027110519413829505,0.0,0.9901828284827059,0.0
600.0,20,38,0.003626139756018406,0.00029046339525068936,0.029806092066320282,0.00222853937123755,0.9880705314464887,0.0018107508217770317
400.0,20,38,0.003786025590773417,0.00034426739473073496,0.03203166889575203,0.002468897157173807,0.9862179440324631,0.00203767948850684
200.0,20,38,0.0047029887497683975,0.0006884669318133978,0.04070782427580062,0.006169799792250484,0.9773826321077037,0.00686480935382611
100.0,20,38,0.008428223371597755,0.0011109785929101124,0.07229696230320247,0.009862796136061709,0.9289503300106403,0.01867899631693816
