snr,n_realizations,n_samples,MEWT_MAE_mean,MEWT_MAE_std,MEWT_NRMSE_mean,MEWT_NRMSE_std,MEWT_R2_mean,MEWT_R2_std
inf,1,38,0.0032833747675029734,0.0,0.027110519413829505,0.0,0.9901828284827059,0.0
600.0,20,38,0.0035020334342444974,0.00031295130614958204,0.029193692284541616,0.0026382021103617008,0.988527842516139,0.0020717611103537306
400.0,20,38,0.003806872135128896,0.00035721212074234194,0.03267488539538754,0.0025401935285391235,0.9856574874055001,0.0022468298709654054
200.0,20,38,0.005154366332153654,0.0006013417483229287,0.04447527994169899,0.005234997164220041,0.9732313210249501,0.006498465987179863
100.0,20,38,0.008070914316082593,0.000957016444584047,0.07001500673462342,0.007533479948813733,0.9338022125998368,0.014230778712898436
