snr,realization,L_true,epsilon_true,MEWT_true,L_retrieved,epsilon_retrieved,MEWT_retrieved
600.0,0,0.1,0.7,0.0699999999999999,0.1066772921359329,0.6966765168616731,0.07431956431349689
600.0,0,0.125,0.7,0.0875,0.1347187629379392,0.7032908622645936,0.09474647494984263
600.0,0,0.15,0.7,0.105,0.15549481854991476,0.6974235043986187,0.1084457412689089
600.0,0,0.175,0.7,0.1224999999999999,0.18274994124654068,0.70015572546826,0.1279534176927536
600.0,0,0.2,0.7,0.1399999999999999,0.19999999999999998,0.6975544635803044,0.13951089271606087
600.0,0,0.175,0.8,0.1399999999999999,0.1801321747462418,0.8022089667875815,0.1445036457883827
600.0,0,0.2,0.8,0.16,0.19999999999999965,0.8026595619804348,0.16053191239608666
600.0,1,0.0,0.0,0.0,0.0010002893362478895,0.0010041652031776561,1.0044557445698046e-06
600.0,1,0.025,0.1,0.0025,0.016256912593505778,0.10389707514148652,0.0016890456692960484
600.0,1,0.025,0.2,0.005,0.030456430813183118,0.20827021975905127,0.006343167538537989
600.0,1,0.05,0.2,0.01,0.07751268176365023,0.16615201293031365,0.012878888102657299
600.0,1,0.025,0.3,0.0075,0.024639821135787998,0.27919908013366623,0.006879415395770076
600.0,1,0.05,0.3,0.015,0.05224083673438135,0.28466009899996214,0.014870881756649855
600.0,1,0.075,0.3,0.0225,0.1065611537544186,0.27876133778084367,0.0297051297760519
600.0,1,0.1,0.3,0.03,0.14167689460300903,0.2889561356675929,0.040938407977870336
600.0,1,0.025,0.4,0.01,0.02531597472170883,0.3918044533223392,0.009918911636161286
600.0,1,0.05,0.4,0.02,0.056442703728823686,0.38120831078988426,0.021516427744878778
600.0,1,0.075,0.4,0.03,0.07879931532952972,0.3801045199450832,0.02995197592533213
600.0,1,0.1,0.4,0.04,0.126377345010073,0.37407316131813556,0.04727437296691071
